,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,,,,w,,,w,,,,,,,,,,,,w,,,,,,,,,,w,,,,,,,,,,,w
,,,,,,w,,,,,,,,,,,,,,,w,,,w,,,,,,,w,,,,,,,,,,,w
w,,,,,,w,,,b,,,,,,,,,,,,w,,,w,,,,,,,w,,,,,w,,,,,,w
w,,,,,,w,,,w,w,w,w,,,,,,,,,w,,,w,,,w,w,,,w,,,,,w,,,,,,w
w,,,,,,w,,,w,,,w,w,w,w,w,,,w,w,w,,,w,,,,,,,w,,,,,w,,,,,,w
w,,,w,w,w,w,,,w,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,,,,,,w
w,,,,,,,,,w,,,,,,,,,,,,b,,,w,,,,,,,b,,,,,w,,b,,,,w
w,,,,,,,,,w,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,,,,,,w
w,w,w,w,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,w,w,w
w,,,,,,,,,w,,,,,,,,,,w,,,,,w,,,,,,,,,,w,,,,,,,,w
w,,,,,,,,,w,,,,,,,,,,w,,,,,w,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,w,w,w,w,w,,,,w,w,w,,,,,w,,,w,,,w,w,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,w,,,,,,,,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,w,w,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,w
w,,,,,,,,,,,b,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
